order_approved_at,order_id,weekday_name
2017-03-27,86,Monday
2017-03-28,118,Tuesday
2017-03-29,83,Wednesday
2017-03-30,87,Thursday
2017-03-31,69,Friday
2017-04-01,52,Saturday
2017-04-02,54,Sunday
2017-04-03,57,Monday
2017-04-04,126,Tuesday
2017-04-05,97,Wednesday
2017-04-06,95,Thursday
2017-04-07,95,Friday
2017-04-08,73,Saturday
2017-04-09,60,Sunday
2017-04-10,70,Monday
2017-04-11,98,Tuesday
2017-04-12,64,Wednesday
2017-04-13,74,Thursday
2017-04-14,59,Friday
2017-04-15,44,Saturday
2017-04-16,43,Sunday
2017-04-17,46,Monday
2017-04-18,87,Tuesday
2017-04-19,82,Wednesday
2017-04-20,93,Thursday
2017-04-21,78,Friday
2017-04-22,70,Saturday
2017-04-23,56,Sunday
2017-04-24,91,Monday
2017-04-25,144,Tuesday
2017-04-26,118,Wednesday
2017-04-27,99,Thursday
2017-04-28,105,Friday
2017-04-29,85,Saturday
2017-04-30,59,Sunday
2017-05-01,92,Monday
2017-05-02,47,Tuesday
2017-05-03,193,Wednesday
2017-05-04,110,Thursday
2017-05-05,116,Friday
2017-05-06,129,Saturday
2017-05-07,96,Sunday
2017-05-08,102,Monday
2017-05-09,148,Tuesday
2017-05-10,106,Wednesday
2017-05-11,139,Thursday
2017-05-12,113,Friday
2017-05-13,94,Saturday
2017-05-14,94,Sunday
2017-05-15,103,Monday
2017-05-16,191,Tuesday
2017-05-17,142,Wednesday
2017-05-18,144,Thursday
2017-05-19,141,Friday
2017-05-20,84,Saturday
2017-05-21,105,Sunday
2017-05-22,133,Monday
2017-05-23,174,Tuesday
2017-05-24,124,Wednesday
2017-05-25,125,Thursday
2017-05-26,107,Friday
2017-05-27,76,Saturday
2017-05-28,82,Sunday
2017-05-29,125,Monday
2017-05-30,126,Tuesday
2017-05-31,132,Wednesday
2017-06-01,123,Thursday
2017-06-02,125,Friday
2017-06-03,118,Saturday
2017-06-04,81,Sunday
2017-06-05,111,Monday
2017-06-06,162,Tuesday
2017-06-07,137,Wednesday
2017-06-08,120,Thursday
2017-06-09,125,Friday
2017-06-10,91,Saturday
2017-06-11,94,Sunday
2017-06-12,96,Monday
2017-06-13,159,Tuesday
2017-06-14,124,Wednesday
2017-06-15,117,Thursday
2017-06-16,83,Friday
2017-06-17,102,Saturday
2017-06-18,81,Sunday
2017-06-19,107,Monday
2017-06-20,133,Tuesday
2017-06-21,67,Wednesday
2017-06-22,82,Thursday
2017-06-23,91,Friday
2017-06-24,76,Saturday
2017-06-25,80,Sunday
2017-06-26,66,Monday
2017-06-27,161,Tuesday
2017-06-28,121,Wednesday
2017-06-29,126,Thursday
2017-06-30,93,Friday
2017-07-01,94,Saturday
2017-07-02,84,Sunday
2017-07-03,94,Monday
2017-07-04,109,Tuesday
2017-07-05,161,Wednesday
2017-07-06,159,Thursday
2017-07-07,136,Friday
2017-07-08,106,Saturday
2017-07-09,78,Sunday
2017-07-10,109,Monday
2017-07-11,169,Tuesday
2017-07-12,157,Wednesday
2017-07-13,137,Thursday
2017-07-14,161,Friday
2017-07-15,117,Saturday
2017-07-16,93,Sunday
2017-07-17,132,Monday
2017-07-18,213,Tuesday
2017-07-19,156,Wednesday
2017-07-20,158,Thursday
2017-07-21,121,Friday
2017-07-22,104,Saturday
2017-07-23,77,Sunday
2017-07-24,125,Monday
2017-07-25,185,Tuesday
2017-07-26,137,Wednesday
2017-07-27,133,Thursday
2017-07-28,130,Friday
2017-07-29,127,Saturday
2017-07-30,96,Sunday
2017-07-31,116,Monday
2017-08-01,128,Tuesday
2017-08-02,221,Wednesday
2017-08-03,153,Thursday
2017-08-04,139,Friday
2017-08-05,139,Saturday
2017-08-06,86,Sunday
2017-08-07,109,Monday
2017-08-08,186,Tuesday
2017-08-09,137,Wednesday
2017-08-10,157,Thursday
2017-08-11,149,Friday
2017-08-12,125,Saturday
2017-08-13,80,Sunday
2017-08-14,121,Monday
2017-08-15,188,Tuesday
2017-08-16,184,Wednesday
2017-08-17,171,Thursday
2017-08-18,158,Friday
2017-08-19,126,Saturday
2017-08-20,84,Sunday
2017-08-21,136,Monday
2017-08-22,168,Tuesday
2017-08-23,128,Wednesday
2017-08-24,122,Thursday
2017-08-25,133,Friday
2017-08-26,106,Saturday
2017-08-27,86,Sunday
2017-08-28,133,Monday
2017-08-29,170,Tuesday
2017-08-30,164,Wednesday
2017-08-31,161,Thursday
2017-09-01,146,Friday
2017-09-02,117,Saturday
2017-09-03,95,Sunday
2017-09-04,126,Monday
2017-09-05,182,Tuesday
2017-09-06,149,Wednesday
2017-09-07,124,Thursday
2017-09-08,98,Friday
2017-09-09,127,Saturday
2017-09-10,106,Sunday
2017-09-11,155,Monday
2017-09-12,222,Tuesday
2017-09-13,213,Wednesday
2017-09-14,190,Thursday
2017-09-15,157,Friday
2017-09-16,125,Saturday
2017-09-17,111,Sunday
2017-09-18,129,Monday
2017-09-19,219,Tuesday
2017-09-20,153,Wednesday
2017-09-21,165,Thursday
2017-09-22,136,Friday
2017-09-23,107,Saturday
2017-09-24,92,Sunday
2017-09-25,105,Monday
2017-09-26,216,Tuesday
2017-09-27,155,Wednesday
2017-09-28,136,Thursday
2017-09-29,123,Friday
2017-09-30,122,Saturday
2017-10-01,94,Sunday
2017-10-02,116,Monday
2017-10-03,216,Tuesday
2017-10-04,177,Wednesday
2017-10-05,145,Thursday
2017-10-06,139,Friday
2017-10-07,120,Saturday
2017-10-08,101,Sunday
2017-10-09,140,Monday
2017-10-10,221,Tuesday
2017-10-11,175,Wednesday
2017-10-12,145,Thursday
2017-10-13,132,Friday
2017-10-14,157,Saturday
2017-10-15,95,Sunday
2017-10-16,153,Monday
2017-10-17,218,Tuesday
2017-10-18,193,Wednesday
2017-10-19,173,Thursday
2017-10-20,142,Friday
2017-10-21,137,Saturday
2017-10-22,133,Sunday
2017-10-23,129,Monday
2017-10-24,173,Tuesday
2017-10-25,165,Wednesday
2017-10-26,165,Thursday
2017-10-27,139,Friday
2017-10-28,100,Saturday
2017-10-29,101,Sunday
2017-10-30,120,Monday
2017-10-31,176,Tuesday
2017-11-01,152,Wednesday
2017-11-02,125,Thursday
2017-11-03,111,Friday
2017-11-04,135,Saturday
2017-11-05,111,Sunday
2017-11-06,75,Monday
2017-11-07,277,Tuesday
2017-11-08,171,Wednesday
2017-11-09,196,Thursday
2017-11-10,165,Friday
2017-11-11,175,Saturday
2017-11-12,138,Sunday
2017-11-13,152,Monday
2017-11-14,251,Tuesday
2017-11-15,191,Wednesday
2017-11-16,168,Thursday
2017-11-17,241,Friday
2017-11-18,194,Saturday
2017-11-19,128,Sunday
2017-11-20,181,Monday
2017-11-21,233,Tuesday
2017-11-22,252,Wednesday
2017-11-23,244,Thursday
2017-11-24,799,Friday
2017-11-25,754,Saturday
2017-11-26,340,Sunday
2017-11-27,349,Monday
2017-11-28,506,Tuesday
2017-11-29,347,Wednesday
2017-11-30,234,Thursday
2017-12-01,363,Friday
2017-12-02,251,Saturday
2017-12-03,188,Sunday
2017-12-04,186,Monday
2017-12-05,426,Tuesday
2017-12-06,301,Wednesday
2017-12-07,244,Thursday
2017-12-08,228,Friday
2017-12-09,174,Saturday
2017-12-10,155,Sunday
2017-12-11,186,Monday
2017-12-12,351,Tuesday
2017-12-13,235,Wednesday
2017-12-14,196,Thursday
2017-12-15,197,Friday
2017-12-16,156,Saturday
2017-12-17,106,Sunday
2017-12-18,160,Monday
2017-12-19,221,Tuesday
2017-12-20,189,Wednesday
2017-12-21,148,Thursday
2017-12-22,139,Friday
2017-12-23,114,Saturday
2017-12-24,52,Sunday
2017-12-25,68,Monday
2017-12-26,127,Tuesday
2017-12-27,218,Wednesday
2017-12-28,155,Thursday
2017-12-29,155,Friday
2017-12-30,79,Saturday
2017-12-31,64,Sunday
2018-01-01,56,Monday
2018-01-02,162,Tuesday
2018-01-03,237,Wednesday
2018-01-04,254,Thursday
2018-01-05,216,Friday
2018-01-06,229,Saturday
2018-01-07,162,Sunday
2018-01-08,233,Monday
2018-01-09,242,Tuesday
2018-01-10,345,Wednesday
2018-01-11,254,Thursday
2018-01-12,261,Friday
2018-01-13,248,Saturday
2018-01-14,181,Sunday
2018-01-15,256,Monday
2018-01-16,379,Tuesday
2018-01-17,300,Wednesday
2018-01-18,243,Thursday
2018-01-19,217,Friday
2018-01-20,217,Saturday
2018-01-21,5,Sunday
2018-01-22,408,Monday
2018-01-23,327,Tuesday
2018-01-24,267,Wednesday
2018-01-25,229,Thursday
2018-01-26,249,Friday
2018-01-27,183,Saturday
2018-01-28,123,Sunday
2018-01-29,205,Monday
2018-01-30,274,Tuesday
2018-01-31,225,Wednesday
2018-02-01,245,Thursday
2018-02-02,219,Friday
2018-02-03,212,Saturday
2018-02-04,199,Sunday
2018-02-05,215,Monday
2018-02-06,318,Tuesday
2018-02-07,253,Wednesday
2018-02-08,252,Thursday
2018-02-09,198,Friday
2018-02-10,215,Saturday
2018-02-11,151,Sunday
2018-02-12,179,Monday
2018-02-13,187,Tuesday
2018-02-14,221,Wednesday
2018-02-15,343,Thursday
2018-02-16,288,Friday
2018-02-17,228,Saturday
2018-02-18,180,Sunday
2018-02-19,197,Monday
2018-02-20,321,Tuesday
2018-02-21,271,Wednesday
2018-02-22,283,Thursday
2018-02-23,258,Friday
2018-02-24,214,Saturday
2018-02-25,175,Sunday
2018-02-26,234,Monday
2018-02-27,360,Tuesday
2018-02-28,290,Wednesday
2018-03-01,306,Thursday
2018-03-02,278,Friday
2018-03-03,251,Saturday
2018-03-04,201,Sunday
2018-03-05,211,Monday
2018-03-06,329,Tuesday
2018-03-07,263,Wednesday
2018-03-08,215,Thursday
2018-03-09,248,Friday
2018-03-10,207,Saturday
2018-03-11,188,Sunday
2018-03-12,192,Monday
2018-03-13,257,Tuesday
2018-03-14,200,Wednesday
2018-03-15,282,Thursday
2018-03-16,262,Friday
2018-03-17,221,Saturday
2018-03-18,178,Sunday
2018-03-19,239,Monday
2018-03-20,323,Tuesday
2018-03-21,315,Wednesday
2018-03-22,266,Thursday
2018-03-23,243,Friday
2018-03-24,176,Saturday
2018-03-25,152,Sunday
2018-03-26,224,Monday
2018-03-27,286,Tuesday
2018-03-28,228,Wednesday
2018-03-29,224,Thursday
2018-03-30,177,Friday
2018-03-31,146,Saturday
2018-04-01,161,Sunday
2018-04-02,233,Monday
2018-04-03,304,Tuesday
2018-04-04,265,Wednesday
2018-04-05,268,Thursday
2018-04-06,213,Friday
2018-04-07,175,Saturday
2018-04-08,149,Sunday
2018-04-09,182,Monday
2018-04-10,308,Tuesday
2018-04-11,229,Wednesday
2018-04-12,152,Thursday
2018-04-13,337,Friday
2018-04-14,173,Saturday
2018-04-15,180,Sunday
2018-04-16,224,Monday
2018-04-17,319,Tuesday
2018-04-18,275,Wednesday
2018-04-19,298,Thursday
2018-04-20,114,Friday
2018-04-21,0,Saturday
2018-04-22,0,Sunday
2018-04-23,0,Monday
2018-04-24,990,Tuesday
2018-04-25,306,Wednesday
2018-04-26,241,Thursday
2018-04-27,265,Friday
2018-04-28,185,Saturday
2018-04-29,135,Sunday
2018-04-30,97,Monday
2018-05-01,406,Tuesday
2018-05-02,225,Wednesday
2018-05-03,334,Thursday
2018-05-04,278,Friday
2018-05-05,231,Saturday
2018-05-06,85,Sunday
2018-05-07,354,Monday
2018-05-08,426,Tuesday
2018-05-09,339,Wednesday
2018-05-10,306,Thursday
2018-05-11,279,Friday
2018-05-12,218,Saturday
2018-05-13,176,Sunday
2018-05-14,291,Monday
2018-05-15,387,Tuesday
2018-05-16,368,Wednesday
2018-05-17,127,Thursday
2018-05-18,379,Friday
2018-05-19,145,Saturday
2018-05-20,161,Sunday
2018-05-21,132,Monday
2018-05-22,259,Tuesday
2018-05-23,166,Wednesday
2018-05-24,119,Thursday
2018-05-25,102,Friday
2018-05-26,122,Saturday
2018-05-27,83,Sunday
2018-05-28,118,Monday
2018-05-29,160,Tuesday
2018-05-30,148,Wednesday
2018-05-31,142,Thursday
2018-06-01,147,Friday
2018-06-02,164,Saturday
2018-06-03,156,Sunday
2018-06-04,178,Monday
2018-06-05,270,Tuesday
2018-06-06,218,Wednesday
2018-06-07,232,Thursday
2018-06-08,198,Friday
2018-06-09,197,Saturday
2018-06-10,142,Sunday
2018-06-11,256,Monday
2018-06-12,292,Tuesday
2018-06-13,260,Wednesday
2018-06-14,241,Thursday
2018-06-15,188,Friday
2018-06-16,141,Saturday
2018-06-17,135,Sunday
2018-06-18,213,Monday
2018-06-19,288,Tuesday
2018-06-20,213,Wednesday
2018-06-21,213,Thursday
2018-06-22,170,Friday
2018-06-23,195,Saturday
2018-06-24,168,Sunday
2018-06-25,190,Monday
2018-06-26,287,Tuesday
2018-06-27,217,Wednesday
2018-06-28,254,Thursday
2018-06-29,196,Friday
2018-06-30,145,Saturday
2018-07-01,129,Sunday
2018-07-02,162,Monday
2018-07-03,5,Tuesday
2018-07-04,0,Wednesday
2018-07-05,697,Thursday
2018-07-06,149,Friday
2018-07-07,101,Saturday
2018-07-08,104,Sunday
2018-07-09,119,Monday
2018-07-10,149,Tuesday
2018-07-11,144,Wednesday
2018-07-12,129,Thursday
2018-07-13,160,Friday
2018-07-14,150,Saturday
2018-07-15,110,Sunday
2018-07-16,198,Monday
2018-07-17,273,Tuesday
2018-07-18,300,Wednesday
2018-07-19,246,Thursday
2018-07-20,264,Friday
2018-07-21,215,Saturday
2018-07-22,4,Sunday
2018-07-23,315,Monday
2018-07-24,368,Tuesday
2018-07-25,282,Wednesday
2018-07-26,270,Thursday
2018-07-27,234,Friday
2018-07-28,165,Saturday
2018-07-29,112,Sunday
2018-07-30,285,Monday
2018-07-31,337,Tuesday
2018-08-01,331,Wednesday
2018-08-02,334,Thursday
2018-08-03,292,Friday
2018-08-04,272,Saturday
2018-08-05,237,Sunday
2018-08-06,306,Monday
2018-08-07,444,Tuesday
2018-08-08,338,Wednesday
2018-08-09,298,Thursday
2018-08-10,252,Friday
2018-08-11,208,Saturday
2018-08-12,160,Sunday
2018-08-13,259,Monday
2018-08-14,339,Tuesday
2018-08-15,289,Wednesday
2018-08-16,291,Thursday
2018-08-17,292,Friday
2018-08-18,207,Saturday
2018-08-19,0,Sunday
2018-08-20,426,Monday
2018-08-21,292,Tuesday
2018-08-22,183,Wednesday
2018-08-23,146,Thursday
2018-08-24,138,Friday
2018-08-25,81,Saturday
2018-08-26,70,Sunday
2018-08-27,64,Monday
2018-08-28,56,Tuesday
2018-08-29,15,Wednesday
2018-08-30,0,Thursday
2018-08-31,0,Friday
